"time1_size_g_fq","rec_serv_g_fq","env_car_g_fq","time2_delay_g_fq","delay_rtt_g_fq","ncars_g_fq"
1,503328,503328,1,3.34,1
2,503328,503328,2,0.411,1
3,491344,491344,3,4.82,1
4,503328,503328,4,0.886,1
5,491344,503328,5,0.381,1
6,503328,503328,6,1.04,1
7,491344,491344,7,0.593,1
8,503328,503328,8,1.01,1
9,491344,491344,9,1.11,1
10,503328,503328,10,0.316,1
11,503328,503328,11,0.334,1
12,491344,491344,12,0.33,1
13,127030.4,498534.4,13,0.0642,5
14,177363.2,493740.8,14,0.5596,5
15,86284.8,500931.2,15,2.746,5
16,55126.4,491344,16,183,5
17,52729.6,500931.2,19,2086.8,5
18,55126.4,493740.8,22,1228.4,5
19,52729.6,500931.2,27,7956.6,5
20,52729.6,493740.8,31,2668.4,5
21,55126.4,498534.4,36,14580.4,5
22,52729.6,496137.6,40,4369,5
23,55126.4,498534.4,46,21363,5
24,52729.6,496137.6,50,6076,5
25,55126.4,498534.4,55,28052,5
26,50332.8,496137.6,59,7768.6,5
27,52729.6,498534.4,64,26003.4,5
28,52729.6,496137.6,65,8722.8,5
29,55126.4,496137.6,66,8712.8,5
30,52729.6,493740.8,68,8711.6,5
31,55126.4,498534.4,76,8731.6,5
32,52729.6,496137.6,77,8730.8,5
33,55126.4,498534.4,80,17460.4,5
34,52729.6,496137.6,82,8732,5
35,52729.6,498534.4,88,8727.6,5
36,55126.4,493740.8,89,8722,5
37,52729.6,498534.4,96,8752,5
38,55126.4,493740.8,97,8751.2,5
39,52729.6,496137.6,104,8778.4,5
40,52729.6,500931.2,106,8777.2,5
41,52729.6,493740.8,110,8804,5
42,55126.4,498534.4,111,8804.6,5
43,52729.6,496137.6,112,8798.2,5
44,55126.4,496137.6,113,8795.6,5
45,50332.8,498534.4,125,8831.6,5
46,55126.4,491344,126,8823,5
47,52729.6,498534.4,127,8824,5
48,52729.6,498534.4,128,8815.2,5
49,52729.6,496137.6,129,8813,5
50,55126.4,498534.4,133,8816,5
51,52729.6,498534.4,139,8814.4,5
52,55126.4,496137.6,142,8816.2,5
53,55126.4,498534.4,146,8814.6,5
54,50332.8,493740.8,148,8815.6,5
55,55126.4,496137.6,163,8835.6,5
56,52729.6,496137.6,164,8835.6,5
57,55126.4,496137.6,165,8833.2,5
58,52729.6,496137.6,167,8841.8,5
59,52729.6,496137.6,168,8833,5
60,52729.6,493740.8,169,8823.4,5
61,55126.4,493740.8,171,2.12,5
62,52729.6,498534.4,172,2.386,5
63,55126.4,491344,173,8825.458,5
64,50332.8,500931.2,176,1031.4,5
65,55126.4,493740.8,178,17669.4,5
66,52729.6,500931.2,179,19913.8,5
67,52729.6,493740.8,182,3456.4,5
68,52729.6,493740.8,184,17612,5
69,55126.4,496137.6,185,4620.6,5
70,55126.4,500931.2,190,13389.8,5
71,52729.6,496137.6,191,17606.6,5
72,55126.4,491344,193,8805.8,5
73,52729.6,498534.4,195,3126.8,5
74,52729.6,493740.8,196,6411.8,5
75,52729.6,500931.2,197,17579,5
76,52729.6,491344,199,8786.2,5
77,52729.6,491344,201,12296.6,5
78,55126.4,498534.4,202,8777.4,5
79,52729.6,493740.8,206,13771.6,5
80,55126.4,493740.8,207,10113,5
81,52729.6,496137.6,209,8771.2,5
82,52729.6,496137.6,210,8759,5
83,52729.6,491344,212,17848.6,5
84,55126.4,500931.2,216,8796.2,5
85,52729.6,491344,217,8787,5
86,55126.4,496137.6,218,38180.2,5
87,52729.6,496137.6,219,8769,5
88,52729.6,493740.8,223,7778.8,5
89,55126.4,496137.6,224,15657.4,5
90,52729.6,496137.6,225,8777.4,5
91,55126.4,496137.6,229,8796.4,5
92,52729.6,496137.6,230,17379.2,5
93,55126.4,496137.6,231,8790,5
94,52729.6,498534.4,232,8777.2,5
95,55126.4,493740.8,233,8578.6,5
96,47936,498534.4,238,8584.2,5
97,52729.6,496137.6,239,8584.8,5
98,55126.4,498534.4,240,8589.8,5
99,52729.6,496137.6,242,8806.8,5
100,55126.4,496137.6,243,25950.2,5
101,52729.6,496137.6,244,17613.2,5
102,55126.4,491344,245,8798.8,5
103,50332.8,498534.4,247,8785.6,5
104,55126.4,496137.6,255,17382,5
105,52729.6,498534.4,256,8604.2,5
106,55126.4,493740.8,259,8790.2,5
107,52729.6,498534.4,261,8789.6,5
108,55126.4,496137.6,263,17381.2,5
109,50332.8,498534.4,268,17585.8,5
110,55126.4,496137.6,269,8779.4,5
111,52729.6,491344,271,26296.8,5
112,52729.6,503328,273,8760.8,5
113,52729.6,491344,276,8797,5
114,55126.4,500931.2,279,17572.2,5
115,55126.4,491344,280,35107.8,5
116,52729.6,496137.6,281,8776.4,5
117,55126.4,500931.2,283,8766.8,5
118,52729.6,493740.8,284,8759.4,5
119,52729.6,503328,285,8757.4,5
120,52729.6,493740.8,287,8807.2,5
121,55126.4,498534.4,290,8777.4,5
122,52729.6,493740.8,294,8823.4,5
123,55126.4,493740.8,295,8816,5
124,52729.6,500931.2,302,8788.4,5
125,52729.6,496137.6,303,8796.8,5
126,52729.6,496137.6,304,17642.2,5
127,55126.4,498534.4,306,17634,5
128,50332.8,491344,309,8854,5
129,55126.4,500931.2,312,8842.8,5
130,52729.6,491344,314,8842.8,5
131,55126.4,500931.2,316,8837,5
132,52729.6,491344,319,17652,5
133,52729.6,496137.6,320,8824,5
134,55126.4,491344,322,17664.2,5
135,52729.6,503328,323,8841.8,5
136,55126.4,493740.8,325,8835,5
137,52729.6,496137.6,327,8852.8,5
138,52729.6,498534.4,328,8845.8,5
139,52729.6,496137.6,330,8843.4,5
140,55126.4,493740.8,331,8853.2,5
141,52729.6,500931.2,332,8833.8,5
142,55126.4,496137.6,333,8834.8,5
143,52729.6,498534.4,338,8824.4,5
144,55126.4,493740.8,339,8826.4,5
145,50332.8,496137.6,340,17625.6,5
146,55126.4,496137.6,341,8844.6,5
147,52729.6,493740.8,342,17689.4,5
148,55126.4,496137.6,344,26470.8,5
149,52729.6,493740.8,345,8804.6,5
150,55126.4,496137.6,346,8822.8,5
151,55126.4,493740.8,348,17618,5
152,52729.6,500931.2,349,35185.2,5
153,55126.4,493740.8,350,8769.6,5
154,52729.6,498534.4,351,8761.4,5
155,55126.4,496137.6,355,8776.034,5
156,52729.6,496137.6,356,3.26,5
157,55126.4,498534.4,357,8805.44,5
158,52729.6,491344,359,9814.2,5
159,55126.4,500931.2,360,8839.2,5
160,52729.6,493740.8,361,8827.2,5
161,55126.4,500931.2,364,1101.2,5
162,52729.6,493740.8,365,3599.6,5
163,52729.6,496137.6,367,26411.4,5
164,47936,493740.8,368,8829.6,5
165,52729.6,496137.6,369,17535.8,5
166,34454,495838,370,5178.625,8
167,32956,492842,375,5509.5,8
168,34454,497336,376,11053.625,8
169,32956,492842,377,9631.625,8
170,34454,494340,378,4236.375,8
171,76398,497336,382,5479.25,8
172,145306,495838,383,5078,8
173,121338,495838,384,5507.75,8
174,97370,495838,385,5488.375,8
175,97370,495838,386,13721.5,8
176,92876,495838,387,5497.625,8
177,92876,495838,390,6241.75,8
178,70814.5454545455,494612.363636364,391,9085.09090909091,11
179,69725.0909090909,497880.727272727,392,3995.54545454545,11
180,66456.7272727273,494612.363636364,393,6139.72727272727,11
181,72993.4545454545,495701.818181818,394,4008.81818181818,11
182,68635.6363636364,495701.818181818,395,4010.27272727273,11
183,71904,494612.363636364,396,4013.27272727273,11
184,71904,497880.727272727,398,3999.54545454545,11
185,70814.5454545455,495701.818181818,402,5974.54545454545,11
186,49025.4545454545,496791.272727273,405,4003.63636363636,11
187,50114.9090909091,495701.818181818,406,8025.36363636364,11
188,47936,496791.272727273,408,8034,11
189,47936,496791.272727273,413,12023,11
190,47936,496791.272727273,414,6576.09090909091,11
191,50114.9090909091,497880.727272727,416,4006.81818181818,11
192,47936,494612.363636364,418,10651.1818181818,11
193,50114.9090909091,495701.818181818,420,4006.63636363636,11
194,46846.5454545455,496791.272727273,421,13618.6363636364,11
195,50114.9090909091,495701.818181818,424,4007,11
196,46846.5454545455,493522.909090909,425,6103.45454545455,11
197,50114.9090909091,497880.727272727,428,3997.27272727273,11
198,47936,495701.818181818,429,3360.54545454545,11
199,50114.9090909091,497880.727272727,430,4002.45454545455,11
200,47936,494612.363636364,431,3999.36363636364,11
201,47936,496791.272727273,432,3543.90909090909,11
202,50114.9090909091,495701.818181818,433,3544.36363636364,11
203,47936,495701.818181818,434,12009.2727272727,11
204,50114.9090909091,494612.363636364,435,3616,11
205,46846.5454545455,496791.272727273,437,8040.63636363636,11
206,49025.4545454545,496791.272727273,442,8039.09090909091,11
207,47936,495701.818181818,443,7993.45454545455,11
208,50114.9090909091,494612.363636364,444,3966.27272727273,11
209,46846.5454545455,496791.272727273,445,11993.6363636364,11
210,49025.4545454545,494612.363636364,446,4000.36363636364,11
211,47936,496791.272727273,448,4003.81818181818,11
212,49025.4545454545,497880.727272727,449,3961.63636363636,11
213,49025.4545454545,492433.454545455,450,4007.09090909091,11
214,49025.4545454545,498970.181818182,452,3971.18181818182,11
215,47936,492433.454545455,453,3954.27272727273,11
216,46846.5454545455,495701.818181818,454,3970.09090909091,11
217,50114.9090909091,495701.818181818,457,7949,11
218,47936,495701.818181818,459,7958.09090909091,11
219,49025.4545454545,495701.818181818,460,8004.09090909091,11
220,47936,496791.272727273,462,7973.72727272727,11
221,49025.4545454545,494612.363636364,464,3966.45454545455,11
222,47936,495701.818181818,465,7980.36363636364,11
223,49025.4545454545,496791.272727273,466,3998.72727272727,11
224,46846.5454545455,492433.454545455,468,4004.45454545455,11
225,49025.4545454545,494612.363636364,469,8019.45454545455,11
226,47936,493522.909090909,470,8061,11
227,50114.9090909091,500059.636363636,471,12050.3636363636,11
228,47936,495701.818181818,472,8071.45454545455,11
229,47936,492433.454545455,473,4049.90909090909,11
230,50114.9090909091,497880.727272727,474,4047.63636363636,11
231,47936,490254.545454545,476,4043,11
232,50114.9090909091,493522.909090909,477,4041.81818181818,11
233,47936,500059.636363636,482,3983.18181818182,11
234,50114.9090909091,490254.545454545,483,7963.63636363636,11
235,47936,498970.181818182,484,4001.18181818182,11
236,50114.9090909091,493522.909090909,485,7967,11
237,46846.5454545455,494612.363636364,486,3973,11
238,49025.4545454545,492433.454545455,487,3966.72727272727,11
239,47936,501149.090909091,489,4002.45454545455,11
240,50114.9090909091,494612.363636364,491,3995.45454545455,11
241,46846.5454545455,497880.727272727,492,4001.63636363636,11
242,49025.4545454545,496791.272727273,494,16019.4545454545,11
243,46846.5454545455,494612.363636364,495,4004.54545454545,11
244,49025.4545454545,494612.363636364,496,8027.36363636364,11
245,49025.4545454545,496791.272727273,497,4015.81818181818,11
246,49025.4545454545,494612.363636364,498,12063.4545454545,11
247,50114.9090909091,496791.272727273,500,8072.45454545455,11
248,47936,496791.272727273,501,8073.54545454545,11
249,47936,496791.272727273,503,4047,11
250,47936,496791.272727273,504,8076.45454545455,11
251,50114.9090909091,494612.363636364,505,3982.09090909091,11
252,47936,494612.363636364,506,3988.90909090909,11
253,49025.4545454545,502238.545454545,508,7961.45454545455,11
254,47936,493522.909090909,510,3974.36363636364,11
255,49025.4545454545,494612.363636364,513,8098.36363636364,11
256,47936,493522.909090909,514,8107.90909090909,11
257,50114.9090909091,492433.454545455,515,8110.72727272727,11
258,47936,498970.181818182,517,4059.72727272727,11
259,50114.9090909091,495701.818181818,519,4113.54545454545,11
260,47936,497880.727272727,520,8231.27272727273,11
261,47936,492433.454545455,521,4069.72727272727,11
262,49025.4545454545,497880.727272727,522,8289.45454545455,11
263,47936,495701.818181818,523,4099.36363636364,11
264,50114.9090909091,494612.363636364,524,8285.90909090909,11
265,47936,496791.272727273,525,4011.09090909091,11
266,50114.9090909091,495701.818181818,527,4014.09090909091,11
267,46846.5454545455,494612.363636364,529,8159.90909090909,11
268,50114.9090909091,496791.272727273,530,4026.18181818182,11
269,47936,494612.363636364,531,12147.9090909091,11
270,47936,495701.818181818,532,4014.90909090909,11
271,47936,494612.363636364,533,4020.36363636364,11
272,50114.9090909091,498970.181818182,535,3973.09090909091,11
273,47936,494612.363636364,536,8014.81818181818,11
274,49025.4545454545,496791.272727273,537,16000.2727272727,11
275,47936,495701.818181818,538,3987.45454545455,11
276,49025.4545454545,495701.818181818,540,3996.54545454545,11
277,49025.4545454545,497880.727272727,542,4043.81818181818,11
278,49025.4545454545,496791.272727273,543,4011.36363636364,11
279,47936,494612.363636364,544,4020.18181818182,11
280,47936,496791.272727273,545,4046.54545454545,11
281,49025.4545454545,496791.272727273,546,4029.81818181818,11
282,49025.4545454545,492433.454545455,548,8084.45454545455,11
283,50114.9090909091,495701.818181818,551,4020.63636363636,11
284,46846.5454545455,497880.727272727,553,3997.72727272727,11
285,50114.9090909091,494612.363636364,556,4021.63636363636,11
286,46846.5454545455,496791.272727273,557,4024,11
287,50114.9090909091,494612.363636364,558,12134.1818181818,11
288,47936,495701.818181818,560,4059.18181818182,11
289,49025.4545454545,497880.727272727,561,8167.18181818182,11
290,47936,494612.363636364,563,4114.63636363636,11
291,50114.9090909091,497880.727272727,565,4096.81818181818,11
292,47936,495701.818181818,566,4099.18181818182,11
293,49025.4545454545,495701.818181818,568,8290.81818181818,11
294,47936,498970.181818182,570,4129.81818181818,11
295,49025.4545454545,493522.909090909,573,4120.36363636364,11
296,49025.4545454545,497880.727272727,574,16422.5454545455,11
297,49025.4545454545,494612.363636364,NA,NA,11
298,49025.4545454545,492433.454545455,NA,NA,11
299,49025.4545454545,501149.090909091,NA,NA,11
300,50114.9090909091,492433.454545455,NA,NA,11
301,46846.5454545455,502238.545454545,NA,NA,11
302,49025.4545454545,493522.909090909,NA,NA,11
303,47936,496791.272727273,NA,NA,11
304,49025.4545454545,493522.909090909,NA,NA,11
305,47936,496791.272727273,NA,NA,11
306,47936,496791.272727273,NA,NA,11
307,47936,494612.363636364,NA,NA,11
308,50114.9090909091,496791.272727273,NA,NA,11
309,47936,496791.272727273,NA,NA,11
310,50114.9090909091,498970.181818182,NA,NA,11
311,47936,496791.272727273,NA,NA,11
312,49025.4545454545,494612.363636364,NA,NA,11
313,50114.9090909091,496791.272727273,NA,NA,11
314,47936,494612.363636364,NA,NA,11
315,50114.9090909091,492433.454545455,NA,NA,11
316,46846.5454545455,493522.909090909,NA,NA,11
317,50114.9090909091,497880.727272727,NA,NA,11
318,45757.0909090909,495701.818181818,NA,NA,11
319,50114.9090909091,492433.454545455,NA,NA,11
320,47936,496791.272727273,NA,NA,11
321,47936,492433.454545455,NA,NA,11
322,47936,498970.181818182,NA,NA,11
323,50114.9090909091,492433.454545455,NA,NA,11
324,47936,495701.818181818,NA,NA,11
325,50114.9090909091,495701.818181818,NA,NA,11
326,47936,494612.363636364,NA,NA,11
327,47936,494612.363636364,NA,NA,11
328,47936,496791.272727273,NA,NA,11
329,50114.9090909091,494612.363636364,NA,NA,11
330,49025.4545454545,494612.363636364,NA,NA,11
331,47936,497880.727272727,NA,NA,11
332,49025.4545454545,495701.818181818,NA,NA,11
333,47936,494612.363636364,NA,NA,11
334,50114.9090909091,498970.181818182,NA,NA,11
335,46846.5454545455,494612.363636364,NA,NA,11
336,50114.9090909091,494612.363636364,NA,NA,11
337,46846.5454545455,495701.818181818,NA,NA,11
338,50114.9090909091,497880.727272727,NA,NA,11
339,47936,493522.909090909,NA,NA,11
340,49025.4545454545,493522.909090909,NA,NA,11
341,47936,495701.818181818,NA,NA,11
342,49025.4545454545,493522.909090909,NA,NA,11
343,47936,497880.727272727,NA,NA,11
344,35153.0666666667,492142.933333333,NA,NA,15
345,36750.9333333333,493740.8,NA,NA,15
346,35153.0666666667,496137.6,NA,NA,15
347,35153.0666666667,496936.533333333,NA,NA,15
348,35153.0666666667,494539.733333333,NA,NA,15
349,36750.9333333333,496137.6,NA,NA,15
350,34354.1333333333,496137.6,NA,NA,15
351,36750.9333333333,493740.8,NA,NA,15
352,35153.0666666667,497735.466666667,NA,NA,15
353,36750.9333333333,496936.533333333,NA,NA,15
354,48734.9333333333,496936.533333333,NA,NA,15
355,84686.9333333333,497735.466666667,NA,NA,15
356,105459.2,496137.6,NA,NA,15
357,72702.9333333333,495338.666666667,NA,NA,15
358,53528.5333333333,495338.666666667,NA,NA,15
359,56724.2666666667,496137.6,NA,NA,15
360,53528.5333333333,496137.6,NA,NA,15
361,54327.4666666667,498534.4,NA,NA,15
362,54327.4666666667,492941.866666667,NA,NA,15
363,53528.5333333333,499333.333333333,NA,NA,15
364,56724.2666666667,494539.733333333,NA,NA,15
365,52729.6,498534.4,NA,NA,15
366,69507.2,493740.8,NA,NA,15
367,52729.6,496936.533333333,NA,NA,15
368,55126.4,496936.533333333,NA,NA,15
369,51930.6666666667,496137.6,NA,NA,15
370,55126.4,496936.533333333,NA,NA,15
371,52729.6,493740.8,NA,NA,15
372,55925.3333333333,497735.466666667,NA,NA,15
373,52729.6,496137.6,NA,NA,15
374,54327.4666666667,496936.533333333,NA,NA,15
375,52729.6,495338.666666667,NA,NA,15
376,53528.5333333333,495338.666666667,NA,NA,15
377,53528.5333333333,496936.533333333,NA,NA,15
378,55126.4,496137.6,NA,NA,15
379,150998.4,496137.6,NA,NA,15
380,63914.6666666667,493740.8,NA,NA,15
381,54327.4666666667,493740.8,NA,NA,15
382,51131.7333333333,500132.266666667,NA,NA,15
383,91078.4,492142.933333333,NA,NA,15
384,72702.9333333333,496936.533333333,NA,NA,15
385,55126.4,496137.6,NA,NA,15
386,54327.4666666667,496137.6,NA,NA,15
387,63914.6666666667,496137.6,NA,NA,15
388,53528.5333333333,495338.666666667,NA,NA,15
389,100665.6,495338.666666667,NA,NA,15
390,135019.733333333,497735.466666667,NA,NA,15
391,104660.266666667,494539.733333333,NA,NA,15
392,52729.6,493740.8,NA,NA,15
393,53528.5333333333,498534.4,NA,NA,15
394,82290.1333333333,493740.8,NA,NA,15
395,110252.8,496936.533333333,NA,NA,15
396,54327.4666666667,496936.533333333,NA,NA,15
397,52729.6,497735.466666667,NA,NA,15
398,55126.4,495338.666666667,NA,NA,15
399,52729.6,496137.6,NA,NA,15
400,55126.4,493740.8,NA,NA,15
401,51930.6666666667,499333.333333333,NA,NA,15
402,54327.4666666667,492941.866666667,NA,NA,15
403,52729.6,496936.533333333,NA,NA,15
404,55126.4,496936.533333333,NA,NA,15
405,51930.6666666667,494539.733333333,NA,NA,15
406,54327.4666666667,497735.466666667,NA,NA,15
407,51930.6666666667,495338.666666667,NA,NA,15
408,53528.5333333333,493740.8,NA,NA,15
409,53528.5333333333,495338.666666667,NA,NA,15
410,54327.4666666667,495338.666666667,NA,NA,15
411,54327.4666666667,494539.733333333,NA,NA,15
412,51131.7333333333,496137.6,NA,NA,15
413,54327.4666666667,495338.666666667,NA,NA,15
414,52729.6,496137.6,NA,NA,15
415,55126.4,489746.133333333,NA,NA,15
416,52729.6,495338.666666667,NA,NA,15
417,52729.6,496936.533333333,NA,NA,15
418,52729.6,494539.733333333,NA,NA,15
419,54327.4666666667,494539.733333333,NA,NA,15
420,51930.6666666667,496137.6,NA,NA,15
421,55126.4,492142.933333333,NA,NA,15
422,52729.6,495338.666666667,NA,NA,15
423,55126.4,492941.866666667,NA,NA,15
424,52729.6,495338.666666667,NA,NA,15
425,55126.4,496936.533333333,NA,NA,15
426,52729.6,495338.666666667,NA,NA,15
427,54327.4666666667,496137.6,NA,NA,15
428,54327.4666666667,494539.733333333,NA,NA,15
429,51131.7333333333,496936.533333333,NA,NA,15
430,55126.4,494539.733333333,NA,NA,15
431,51930.6666666667,495338.666666667,NA,NA,15
432,55126.4,496137.6,NA,NA,15
433,51131.7333333333,496137.6,NA,NA,15
434,54327.4666666667,494539.733333333,NA,NA,15
435,52729.6,497735.466666667,NA,NA,15
436,53528.5333333333,495338.666666667,NA,NA,15
437,52729.6,499333.333333333,NA,NA,15
438,55126.4,495338.666666667,NA,NA,15
439,52729.6,497735.466666667,NA,NA,15
440,55126.4,492941.866666667,NA,NA,15
441,51930.6666666667,500132.266666667,NA,NA,15
442,53528.5333333333,494539.733333333,NA,NA,15
443,53528.5333333333,500132.266666667,NA,NA,15
444,51930.6666666667,494539.733333333,NA,NA,15
445,54327.4666666667,494539.733333333,NA,NA,15
446,52729.6,496936.533333333,NA,NA,15
447,55126.4,496137.6,NA,NA,15
448,51930.6666666667,496936.533333333,NA,NA,15
449,55126.4,496137.6,NA,NA,15
450,51930.6666666667,495338.666666667,NA,NA,15
